storage_time,drying_type,insect,sample,treatment,parameter,rep,value,detection_limit
0,micro,bsfl,leeb,micro_leeb,bsc,2,1,1.95
0,micro,bsfl,control,micro,anaer.tvc,1,1,1
0,micro,bsfl,control,micro,anaer.tvc,2,1,1
0,micro,bsfl,leeb,micro_leeb,anaer.tvc,1,1,1
0,micro,bsfl,leeb,micro_leeb,anaer.tvc,2,1,1
0,micro,bsfl,control,micro,anaer.bsc,1,1,1
0,micro,bsfl,control,micro,anaer.bsc,2,1,1
0,micro,bsfl,leeb,micro_leeb,anaer.bsc,1,1,1
0,micro,bsfl,leeb,micro_leeb,anaer.bsc,2,1,1
0,oven,mw,control,oven,moisture_content,1,6.74,
0,oven,mw,control,oven,moisture_content,2,6.32,
0,oven,mw,leeb,oven_leeb,moisture_content,1,6.35,
0,oven,mw,leeb,oven_leeb,moisture_content,2,6.01,
0,oven,mw,leeb,oven_leeb,moisture_content,3,6.38,
1,oven,mw,control,oven,moisture_content,1,7,
1,oven,mw,control,oven,moisture_content,2,6.8,
1,oven,mw,control,oven,moisture_content,3,7.3,
1,oven,mw,leeb,oven_leeb,moisture_content,1,6.7,
1,oven,mw,leeb,oven_leeb,moisture_content,2,6.7,
1,oven,mw,leeb,oven_leeb,moisture_content,3,6.9,
2,oven,mw,control,oven,moisture_content,1,6.8,
2,oven,mw,control,oven,moisture_content,2,6.6,
